,bin_trial,split_by,type,samp,Unnamed: 0,subj_idx,response,rt,trial,feedback,upper_hpd,lower_hpd,up_err,low_err,model
62,15,1,observed,0.0,25079.88888888889,23.0,0.4,0.6350888888888889,16.0,0.5777777777777777,0.4,0.4,0.0,0.0,RLDDM_single_learning
63,15,1,simulated,5.5,72015.0,23.0,0.6533333333333333,0.5664667408563124,16.0,0.5822222222222222,0.7333333333333333,0.5111111111111111,0.07999999999999996,0.14222222222222225,RLDDM_single_learning
64,16,0,observed,0.0,25080.88888888889,23.0,0.4444444444444444,0.6975777777777777,17.0,0.5777777777777777,0.4444444444444444,0.4444444444444444,0.0,0.0,RLDDM_single_learning
65,16,0,simulated,5.5,71856.0,23.0,0.6466666666666667,0.5329068687356787,17.0,0.5755555555555556,0.7111111111111111,0.5111111111111111,0.06444444444444442,0.13555555555555565,RLDDM_single_learning
66,16,1,observed,0.0,25081.88888888889,23.0,0.4222222222222222,0.5779777777777778,17.0,0.5333333333333333,0.4222222222222222,0.4222222222222222,0.0,0.0,RLDDM_single_learning
67,16,1,simulated,5.5,72016.0,23.0,0.6577777777777778,0.5634467408563293,17.0,0.5711111111111111,0.7555555555555555,0.6,0.09777777777777774,0.05777777777777782,RLDDM_single_learning
68,17,0,observed,0.0,25082.88888888889,23.0,0.37777777777777777,0.6580222222222223,18.0,0.4222222222222222,0.37777777777777777,0.37777777777777777,0.0,0.0,RLDDM_single_learning
69,17,0,simulated,5.5,71857.0,23.0,0.7022222222222222,0.5109379798470052,18.0,0.5933333333333334,0.8222222222222222,0.6,0.12,0.10222222222222221,RLDDM_single_learning
70,17,1,observed,0.0,25083.88888888889,23.0,0.4444444444444444,0.5604444444444444,18.0,0.5777777777777777,0.4444444444444444,0.4444444444444444,0.0,0.0,RLDDM_single_learning
71,17,1,simulated,5.5,72017.0,23.0,0.6422222222222222,0.5494489630784845,18.0,0.5666666666666667,0.7555555555555555,0.5333333333333333,0.11333333333333329,0.10888888888888892,RLDDM_single_learning
72,18,0,observed,0.0,25084.88888888889,23.0,0.4,0.654,19.0,0.4888888888888889,0.4,0.4,0.0,0.0,RLDDM_single_learning
73,18,0,simulated,5.5,71858.0,23.0,0.64,0.4958024242911952,19.0,0.5555555555555556,0.7333333333333333,0.5555555555555556,0.09333333333333327,0.08444444444444443,RLDDM_single_learning
74,18,1,observed,0.0,25085.88888888889,23.0,0.4888888888888889,0.5492222222222222,19.0,0.5333333333333333,0.4888888888888889,0.4888888888888889,0.0,0.0,RLDDM_single_learning
75,18,1,simulated,5.5,72018.0,23.0,0.6355555555555555,0.553128963078459,19.0,0.5733333333333334,0.7111111111111111,0.5555555555555556,0.0755555555555556,0.07999999999999996,RLDDM_single_learning
76,19,0,observed,0.0,25086.88888888889,23.0,0.5333333333333333,0.6006888888888888,20.0,0.4,0.5333333333333333,0.5333333333333333,0.0,0.0,RLDDM_single_learning
77,19,0,simulated,5.5,71859.0,23.0,0.6222222222222222,0.5135424242911298,20.0,0.5222222222222221,0.6888888888888889,0.5111111111111111,0.06666666666666665,0.11111111111111116,RLDDM_single_learning
78,19,1,observed,0.0,25087.88888888889,23.0,0.4444444444444444,0.647,20.0,0.37777777777777777,0.4444444444444444,0.4444444444444444,0.0,0.0,RLDDM_single_learning
